Slowakei	slowakisch
China	chinesisch
Russland	russisch
Korea	koreanisch
Frankreich	französisch
Albanien	albanisch
Argentinien	argentinisch
Japan	japanisch
Mexiko	mexikanisch
Griechenland	griechisch
Norwegen	norwegisch
Brasilien	brasilianisch
Island	isländisch
Chile	chilenisch
Bulgarien	bulgarisch
Dänemark	dänisch
Ägypten	ägyptisch
Kroatien	kroatisch
Ukraine	ukrainisch
Indien	indisch
Polen	polnisch
Australien	australisch
Deutschland	deutsch
Malta	maltesisch
Irland	irisch
England	englisch
Schweden	schwedisch
Thailand	thailändisch
Israel	israelisch
Peru	peruanisch
Kolumbien	kolumbianisch
Österreich	österreichisch
Portugal	portugiesisch
Italien	italienisch
