Slovakia	Slovakian
China	Chinese
Russia	Russian
Korea	Korean
France	French
Albania	Albanian
Argentina	Argentinean
Japan	Japanese
Mexico	Mexican
Greece	Greek
Norway	Norwegian
Brazil	Brazilian
Iceland	Icelandic
Chile	Chilean
Bulgaria	Bulgarian
Denmark	Danish
Egypt	Egyptian
Croatia	Croatian
Ukraine	Ukrainian
India	Indian
Poland	Polish
Australia	Australian
Germany	German
Malta	Maltese
Ireland	Irish
England	English
Sweden	Swedish
Thailand	Thai
Israel	Israeli
Peru	Peruvian
Colombia	Colombian
Austria	Austrian
Portugal	Portuguese
Italy	Italian
