Eslovaquia	Eslovaco
China	Chino
Rusia	Ruso
Corea	Coreano
Francia	Francés
Albania	Albanés
Argentina	Argentino
Japón	Japonés
México	Mexicano
Grecia	Griego
Noruega	Noruego
Brasil	Brasileño
Islandia	Islandés
Chile	Chileno
Bulgaria	Búlgaro
Dinamarca	Danés
Egipto	Egipcio
Croacia	Croata
Ucrania	Ucranio
India	Indio
Polonia	polaco
Australia	Australiano
Alemania	Alemán
Malta	Maltés
Irlanda	Irlandés
Inglaterra	Inglés
Suecia	Sueco
Tailandia	Tailandés
Israel	Israelí
Perú	Peruano
Colombia	Colombiano
Austria	Austriaco
Portugal	Portugués
Italia	Italiano
