Slovaquie	slovaque
Chine	chinois
Russie	russe
Corée	coréen
France	français
Albanie	albanais
Argentine	argentin
Japon	japonais
Mexique	mexicain
Grèce	grec
Norvège	norvégien
Brésil	brésilien
Islande	islandais
Chili	chilien
Bulgarie	bulgare
Danemark	danois
Egypte	égyptien
Croatie	croate
Ukraine	ukrainien
Inde	indien
Pologne	polonais
Australie	australien
Allemagne	allemand
Malte	maltais
Irlande	irlandais
Angleterre	anglais
Suède	suédois
Thaïlande	thaïlandais
Israël	israélien
Pérou	péruvien
Colombie	colombien
Autriche	autrichien
Portugal	portugais
Italie	italien
