Słowacja	słowacki
Chiny	chiński
Rosja	rosyjski
Korea	koreański
Francja	francuski
Albania	albański
Argentyna	argentyński
Japonia	japoński
Meksyk	meksykański
Grecja	grecki
Norwegia	norweski
Brazylia	brazylijski
Islandia	islandzki
Chile	chilijski
Bułgaria	bułgarski
Dania	duński
Egipt	egipski
Chorwacja	chorwacki
Ukraina	ukraiński
Indie	indyjski
Polska	polski
Australia	australijski
Niemcy	niemiecki
Malta	maltański
Irlandia	irlandzki
Anglia	angielski
Szwecja	szwedzki
Tajlandia	tajski
Izrael	izraelski
Peru	peruwiański
Kolumbia	kolumbijski
Austria	austriacki
Portugalia	portugalski
Włochy	włoski
